"","Latitude","Longitude","ml","Bearing"
"462",39.7,39.7,1.3,4.72883015921703
"463",37.5,28.29,1.2,0.992842665748778
"464",39.45,43.32,1.6,4.78667255797555
"465",37.66,26.09,1.6,1.17510290549305
"466",37.22,28.35,1.1,0.929145742650291
"467",37.13,28.38,1.2,0.908326246979779
"468",37.07,28.21,1.7,0.915169752343192
"469",39.68,35.31,1.5,4.67651038722006
"470",35,34,2.1,6.0409039832709
"471",38.03,27.4,1.1,1.17725291476673
"472",38.3,38.3,1.5,5.01891121872423
"473",39.6,42.2,1.4,4.7621783485788
"474",35.9,30.4,1.1,0.422360369004178
"475",35.8,30.5,1.3,0.395340952473262
"476",39.64,35.25,1.9,4.69409318517973
"477",39.62,39.89,1.1,4.74452235349063
"478",40.04,35.2,1.4,4.5020887895806
"479",38.4,35.3,1.1,5.22502224817026
"480",40.47,37,1.5,4.48087865683861
"481",39.99,38.14,1.3,4.64684907712542
"482",39.8,39.51,3.2,4.70862791740172
"483",39.82,39.71,1.6,4.70733877817182
"484",39.82,29.5,1.2,1.65987753863485
"485",39.07,26.94,2.2,1.42545902034799
"486",39.76,29.56,1.5,1.63648621971431
"487",39.91,29.81,1,1.7154762118737
"488",39.75,29.68,1.3,1.63609675234169
"489",39.75,29.48,1.2,1.62969195604987
"490",39.75,29.52,1.1,1.63091721115446
"491",36.3,30.7,1.2,0.409443891941972
"492",40.9,33.73,1,3.74940984234925
"493",35.15,26.24,1.6,0.816953312581747
"494",39.44,33.79,2.2,4.8527768282743
"495",35.34,27.92,1.1,0.692225969630609
"496",35.4,26,1.1,0.861827875401947
"497",38.69,27.78,1.3,1.31165247108299
"498",41.25,33.33,1.3,3.4911470854036
"499",41.21,33.53,1,3.57965143116363
"500",36.64,35.85,1.3,5.57209261802621
"501",39.6,43.1,1.4,4.76754932689802
"502",36.15,26.35,1,0.929507287703736
"503",40.31,27.21,1.1,1.71924126547863
"504",40.09,43.22,1.9,4.70930417646355
"505",36.08,27.3,1.8,0.844682522417085
"506",40.3,27.45,2,1.72634337226466
"507",40.4,27.49,2,1.75282653984295
"508",38.54,41,1.6,4.91357722044874
"509",37.86,31.13,1.2,0.565913063379845
"510",38.19,29.79,1.5,0.98509351415312
"511",35.09,27.1,1.2,0.741672523887552
"512",36.77,27.29,2,0.948690322712254
"513",36.9,34.73,1.1,5.72069472671923
"514",35.51,27.24,1.3,0.777004687883025
"515",35.5,27.6,1.3,0.742520260153911
"516",35.6,27.38,1.1,0.775220657377478
"517",36.22,44.73,1,5.11051005485196
